category,dataset,split,image,error
french,DrosB,train,000049,"FileNotFoundError(2, 'No such file or directory')"
french,DrosB,train,000001,"FileNotFoundError(2, 'No such file or directory')"
french,DrosB,train,000076,"FileNotFoundError(2, 'No such file or directory')"
french,DrosB,train,000080,"FileNotFoundError(2, 'No such file or directory')"
french,DrosB,train,000035,"FileNotFoundError(2, 'No such file or directory')"
french,DrosB,train,000031,"FileNotFoundError(2, 'No such file or directory')"
french,DrosB,train,000078,"FileNotFoundError(2, 'No such file or directory')"
french,DrosB,train,000058,"FileNotFoundError(2, 'No such file or directory')"
french,DrosB,train,000002,"FileNotFoundError(2, 'No such file or directory')"
french,DrosB,train,000102,"FileNotFoundError(2, 'No such file or directory')"
french,DrosB,train,000103,"FileNotFoundError(2, 'No such file or directory')"
french,DrosB,train,000038,"FileNotFoundError(2, 'No such file or directory')"
french,DrosB,train,000081,"FileNotFoundError(2, 'No such file or directory')"
french,DrosB,train,000005,"FileNotFoundError(2, 'No such file or directory')"
french,DrosB,train,000064,"FileNotFoundError(2, 'No such file or directory')"
french,DrosB,train,000022,"FileNotFoundError(2, 'No such file or directory')"
french,DrosB,train,000128,"FileNotFoundError(2, 'No such file or directory')"
arabic,ChallengingHandwritten,train,000026,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,I2,train,000004,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,I2,train,000552,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,I2,train,000638,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,I2,train,000598,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,I2,train,000518,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,I2,train,000573,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,I2,train,000486,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,I2,train,000640,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,I2,train,000575,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,I2,train,000330,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,I2,train,000648,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,I2,train,000206,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,I2,train,000129,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,I2,train,000511,"FileNotFoundError(2, 'No such file or directory')"
palm_leaves,I2,train,000133,"FileNotFoundError(2, 'No such file or directory')"
